service_id,date,exception_type
26043002,20260504,2
26043002,20260505,2
26043002,20260506,2
26043002,20260511,2
26043002,20260512,2
26043002,20260513,2
26043002,20260518,2
26043002,20260519,2
26043002,20260520,2
26043002,20260525,2
26043002,20260526,2
26031301,20260527,2
26031301,20260601,2
26031301,20260602,2
